member_id,first_name,last_name,full_name,email,gender,city,state,phone,dob,created_at,is_active,rejection_reason
M0236530,,Kibe,Udant Kibe,,male,,Bihar,NOT_A_NUMBER,2028-03-21 20:50:02.091270,2024-02-22 17:03:51.824951,True,missing_first_name
M0246430,,Bala,Chaitaly Bala,,female,,Mizoram,NOT_A_NUMBER,2027-07-16 20:50:02.091270,2023-08-28 01:49:17.824951,True,missing_first_name
M0244426,,Banerjee,Leena Banerjee,,female,,Odisha,NOT_A_NUMBER,2028-06-05 20:50:02.091270,2023-12-30 21:00:35.824951,True,missing_first_name
M0234212,,Kala,Tanvi Kala,,female,,West Bengal,NOT_A_NUMBER,2027-08-11 20:50:02.091270,2024-05-07 13:30:43.824951,True,missing_first_name
M0072575,,Gulati,Vasatika Gulati,,female,,Bihar,NOT_A_NUMBER,2028-12-22 20:50:02.091270,2025-11-28 18:02:41.824951,True,missing_first_name
M0233465,,Madan,Forum Madan,,female,,Assam,NOT_A_NUMBER,2026-05-06 20:50:02.091270,2025-09-12 15:48:53.824951,True,missing_first_name
M0136531,,Zachariah,Ikbal Zachariah,,male,,Arunachal Pradesh,NOT_A_NUMBER,2028-03-06 20:50:02.091270,2023-02-10 19:48:30.824951,True,missing_first_name
M0237131,,Mandal,Aarnav Mandal,,male,,Manipur,NOT_A_NUMBER,2028-07-28 20:50:02.091270,2025-07-11 04:44:05.824951,True,missing_first_name
M0250242,,Thakur,Anya Thakur,,female,,Mizoram,NOT_A_NUMBER,2028-11-15 20:50:02.091270,2023-01-28 13:33:35.824951,True,missing_first_name
M0236259,,Sampath,Dipta Sampath,,female,,Gujarat,NOT_A_NUMBER,2027-10-04 20:50:02.091270,2025-05-03 06:22:27.824951,True,missing_first_name
M0254169,,Krishna,Abhiram Krishna,,male,,Haryana,NOT_A_NUMBER,2027-07-15 20:50:02.091270,2025-08-17 09:30:27.824951,True,missing_first_name
M0236079,,Sachdeva,Ganga Sachdeva,,female,,Haryana,NOT_A_NUMBER,2026-07-11 20:50:02.091270,2023-08-22 16:31:55.824951,True,missing_first_name
M0250934,,Tella,Noah Tella,,male,,Nagaland,NOT_A_NUMBER,2026-05-10 20:50:02.091270,2024-06-17 23:56:29.824951,True,missing_first_name
M0234318,,Pandit,Edhitha Pandit,,female,,Tripura,NOT_A_NUMBER,2028-08-03 20:50:02.091270,2024-05-06 05:42:33.824951,True,missing_first_name
M0178879,,Dass,Ijaya Dass,,female,,Manipur,NOT_A_NUMBER,2028-08-25 20:50:02.091270,2025-03-02 15:30:12.824951,True,missing_first_name
M0256614,,Kannan,Onveer Kannan,,male,,Uttarakhand,NOT_A_NUMBER,2027-12-18 20:50:02.091270,2025-06-09 01:43:29.824951,True,missing_first_name
M0247071,,Gupta,Zashil Gupta,,male,,Tamil Nadu,NOT_A_NUMBER,2028-04-18 20:50:02.091270,2022-12-11 09:22:13.824951,True,missing_first_name
M0254109,,Bassi,Vivaan Bassi,,male,,Assam,NOT_A_NUMBER,2027-11-23 20:50:02.091270,2023-01-08 17:54:48.824951,True,missing_first_name
M0239347,,Walia,Samar Walia,,male,,Himachal Pradesh,NOT_A_NUMBER,2026-06-06 20:50:02.091270,2023-02-26 10:18:19.824951,True,missing_first_name
M0248268,,Sandhu,Edhitha Sandhu,,female,,Madhya Pradesh,NOT_A_NUMBER,2029-01-05 20:50:02.091270,2023-01-05 22:42:17.824951,True,missing_first_name
M0230905,,Karpe,Suhani Karpe,,female,,Tripura,NOT_A_NUMBER,2028-12-08 20:50:02.091270,2024-04-05 13:32:35.824951,True,missing_first_name
M0246884,,Balan,Faris Balan,,male,,Uttarakhand,NOT_A_NUMBER,2027-07-19 20:50:02.091270,2023-12-16 10:59:03.824951,True,missing_first_name
M0245147,,Trivedi,Chanchal Trivedi,,female,,Tripura,NOT_A_NUMBER,2026-01-17 20:50:02.091270,2024-01-20 08:40:03.824951,True,missing_first_name
M0246094,,Bumb,Falan Bumb,,male,,Haryana,NOT_A_NUMBER,2027-06-09 20:50:02.091270,2023-08-27 16:13:28.824951,True,missing_first_name
M0201677,,Mital,Amol Mital,,male,,Mizoram,NOT_A_NUMBER,2028-05-10 20:50:02.091270,2024-07-23 19:40:28.824951,True,missing_first_name
M0236451,,Rai,Chaitaly Rai,,female,,Sikkim,NOT_A_NUMBER,2029-01-04 20:50:02.091270,2025-08-12 22:47:48.824951,True,missing_first_name
M0255244,,Rout,Hemangini Rout,,female,,Manipur,NOT_A_NUMBER,2028-02-22 20:50:02.091270,2022-12-23 19:21:32.824951,True,missing_first_name
M0239398,,Rajagopalan,Zayyan Rajagopalan,,male,,Assam,NOT_A_NUMBER,2029-01-03 20:50:02.091270,2025-10-31 20:54:06.824951,True,missing_first_name
M0253896,,Handa,Gaurav Handa,,male,,Chhattisgarh,NOT_A_NUMBER,2029-01-14 20:50:02.091270,2023-01-23 05:05:30.824951,True,missing_first_name
M0251255,,Jha,Warda Jha,,female,,Madhya Pradesh,NOT_A_NUMBER,2028-05-22 20:50:02.091270,2025-10-07 15:01:07.824951,True,missing_first_name
M0247984,,Khanna,Forum Khanna,,female,,Tripura,NOT_A_NUMBER,2025-12-08 20:50:02.091270,2023-03-03 17:23:40.824951,True,missing_first_name
M0237810,,Zacharia,Samesh Zacharia,,male,,Rajasthan,NOT_A_NUMBER,2027-10-15 20:50:02.091270,2022-12-17 09:49:57.824951,True,missing_first_name
M0230375,,Mitter,Ekavir Mitter,,male,,Assam,NOT_A_NUMBER,2028-08-18 20:50:02.091270,2024-04-17 20:57:39.824951,True,missing_first_name
M0248994,,Ghosh,Faras Ghosh,,male,,Haryana,NOT_A_NUMBER,2027-05-02 20:50:02.091270,2025-06-28 01:01:07.824951,True,missing_first_name
M0242207,,Bedi,Fitan Bedi,,male,,Odisha,NOT_A_NUMBER,2028-10-22 20:50:02.091270,2023-04-28 07:40:26.824951,True,missing_first_name
M0257110,,Dass,Diya Dass,,female,,Gujarat,NOT_A_NUMBER,2028-01-07 20:50:02.091270,2023-11-05 03:48:55.824951,True,missing_first_name
